sample_times,z,d,nearest_labels,haptic_messages
32.50369334220886,1.5611372222222222,1.4786838448279884,person,u
32.65519642829895,1.5555999999999999,1.4798759168942075,person,u
33.52342915534973,1.5052644444444445,1.4981570128161181,person,r
33.66374850273132,1.4396880555555556,1.4823340997397434,person,u
33.961873054504395,1.404763888888889,1.373324938905187,cell phone,u
34.11562943458557,1.3982516666666667,1.3713604162830015,cell phone,u
34.27546501159668,1.4127341666666666,1.4567637653665817,cell phone,u
34.423635721206665,1.4103508333333334,1.4535540033299108,cell phone,u
34.60070586204529,1.4141147222222223,1.364209474659315,cell phone,u
34.78775501251221,1.382756388888889,1.3561979259263035,cell phone,u
34.94944453239441,1.384088611111111,1.3535331284788805,cell phone,u
35.06327843666077,1.3899849999999998,1.3544883559478764,cell phone,r
35.34658432006836,1.3846008333333335,1.3634266964658213,cell phone,l
35.50612020492554,1.3951027777777778,1.3534340818679254,cell phone,l
35.669838666915894,1.4084019444444444,1.3479944010772158,cell phone,l
35.839136600494385,1.4345819444444443,1.3614653862643058,cell phone,l
35.998191595077515,1.4381919444444444,1.363081521163098,cell phone,l
36.148653507232666,1.4412769444444447,1.3546284319375506,cell phone,l
